AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Montane
138.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,31.0,3.0,3.85,nan,nan,arboreal,nan,1
1050.0,1.0,no,yes,no,no,no,no,no,3.0,2.0,3.0,no,39.5,2.5,58.5,46.95,nan,arboreal,nan,1
181.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,35.0,2.5,38.35,31.9,nan,arboreal,nan,1
292.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,31.0,1.5,43.7,35.2,29.1,arboreal,nan,1
511.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,4.0,no,35.5,2.0,54.5,45.0,nan,arboreal,144.0,1
725.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,33.0,2.5,47.55,37.85,36.9,terrestrial,nan,1
700.0,1.0,no,yes,no,no,no,no,no,3.0,3.0,3.0,no,40.0,1.5,nan,nan,nan,arboreal,nan,1
3000.0,1.0,no,yes,no,no,no,no,no,3.0,3.0,1.0,no,39.7,2.0,69.2,52.6,100.9,arboreal,nan,0
650.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,4.0,no,50.5,1.0,62.0,46.0,nan,arboreal,nan,0
567.0,3.0,yes,yes,no,no,no,no,yes,2.0,3.0,1.0,yes,32.0,2.5,51.1,39.15,56.0,arboreal,288.0,1
570.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,39.0,2.0,53.3,40.55,52.5,arboreal,nan,1
376.0,3.0,yes,no,no,no,yes,yes,no,2.0,3.0,1.0,yes,27.5,6.0,46.0,34.6,29.85,arboreal,nan,0
559.5,4.0,yes,no,yes,no,yes,yes,no,2.0,3.0,1.0,no,26.5,10.0,50.05,38.05,38.0,terrestrial,nan,1
960.5,3.0,yes,no,no,no,yes,yes,no,2.0,3.0,1.0,no,28.5,8.0,56.2,37.4,53.45,terrestrial,nan,1
685.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,27.0,8.0,55.0,40.0,nan,terrestrial,nan,0
690.0,4.0,yes,no,yes,no,yes,yes,no,2.0,1.0,1.0,yes,27.5,7.5,49.1,38.25,35.25,terrestrial,144.0,1
266.0,4.0,yes,yes,no,no,yes,yes,no,2.0,3.0,1.0,no,24.5,9.0,43.2,33.45,27.0,arboreal,nan,1
2610.0,3.0,yes,no,no,no,yes,yes,no,2.0,3.0,1.0,yes,29.0,8.0,62.0,42.55,51.0,arboreal,nan,1
