AdultBodyMass,CranialCapacity,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid
78.0,,yes,no,yes,yes,no,yes,no,1.0,2.0,3.0,60.83,1.0,365.0,10.4,18.0,1.0,107.8,0,1,1,0,1
1082.0,,no,no,yes,no,no,yes,no,1.0,1.0,3.0,,,,,,,,0,1,0,0,1
946.0,,no,no,yes,no,no,yes,no,2.0,1.0,3.0,,,,0.02,,,,1,0,0,0,0
1180.0,10.0,no,no,yes,no,no,yes,no,2.0,1.0,3.0,110.05,1.01,365.0,0.01,84.85,2.0,,1,1,1,0,1
1212.5,,no,no,yes,no,no,yes,no,1.0,1.0,3.0,,,,,114.0,,,0,1,0,1,1
924.0,,no,no,no,no,no,yes,no,,1.0,3.0,,,,,,,,0,1,0,0,0
897.0,7.95,no,no,no,no,no,yes,no,1.0,2.0,3.0,135.0,1.01,365.0,0.01,66.99,3.0,,1,0,0,0,0
1034.0,,no,no,yes,no,no,yes,no,2.0,1.0,3.0,,,,,29.81,,,0,1,1,0,1
983.0,,no,no,yes,no,no,yes,no,2.0,1.0,3.0,,,,,,,,0,1,0,0,1
853.0,,no,no,yes,no,no,yes,no,,1.0,3.0,,1.0,,,,,,1,0,0,0,1
200.0,,yes,yes,yes,no,no,no,no,1.0,1.0,1.0,,6.0,,,,,,0,1,1,0,1
220.0,,yes,yes,yes,no,no,no,no,1.0,1.0,3.0,,,365.0,,,,,0,1,0,0,1
92.5,,yes,yes,yes,no,yes,yes,no,1.0,2.0,3.0,,2.0,365.0,,,,,0,1,1,0,1
90.0,,yes,yes,yes,no,yes,yes,no,1.0,2.0,3.0,,2.0,,,,,,0,1,1,0,1
14.5,,yes,no,yes,no,yes,yes,no,1.0,,,,,,,,,,1,1,1,1,1
9.4,,yes,no,no,no,no,no,no,,1.0,,,,,,,,,1,1,1,1,1
11.3,,yes,no,no,no,no,no,no,1.0,1.0,4.0,63.79,1.0,,,,20.0,60.0,1,1,1,1,1
294.29,,yes,no,yes,yes,no,yes,no,1.0,1.0,3.0,70.76,2.26,365.0,,,,180.0,1,1,1,0,1
468.06,5.9,yes,no,yes,yes,no,yes,no,1.0,1.0,3.0,69.78,2.23,365.0,0.02,67.99,1.0,170.4,1,1,1,1,1
216.25,2.9,yes,no,yes,yes,no,yes,no,1.0,1.0,3.0,61.71,2.13,365.0,0.02,221.44,1.0,289.8,1,1,0,1,1
,,yes,no,yes,yes,no,yes,no,1.0,1.0,3.0,62.0,3.0,365.0,0.018,,,,0,1,0,0,0
423.5,4.4,yes,no,yes,yes,no,yes,no,2.0,1.0,3.0,70.76,2.26,365.0,,,,180.0,0,1,0,0,1
10.0,,yes,no,no,no,no,no,no,1.0,1.0,4.0,111.25,1.0,,,,,,1,0,0,0,1
9500.0,,yes,yes,no,no,no,no,no,3.0,2.0,2.0,47.77,2.99,365.0,0.75,0.88,1.0,258.6,1,1,1,1,1
2528.0,45.2,yes,no,no,yes,yes,no,no,2.0,1.0,3.0,165.42,1.01,760.21,0.06,39.79,1.0,339.6,1,1,1,1,1
180.0,,yes,yes,yes,no,no,no,no,2.0,1.0,1.0,62.54,5.75,365.0,,,,192.0,1,1,0,1,1
342.0,,no,no,yes,yes,no,yes,no,1.0,2.0,3.0,131.32,1.22,365.0,0.3,,200.0,240.0,1,1,1,1,1
92.8,,yes,yes,yes,no,yes,no,no,1.0,1.0,1.0,,,,,,,,1,0,0,0,1
94.8,,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,1,0,0,0,1
95.5,,yes,yes,no,no,no,no,no,1.0,,,,,,,,,,0,0,0,1,1
100.0,,yes,yes,yes,no,yes,no,no,1.0,1.0,2.0,,,,,,,,0,1,0,0,0
50.6,,yes,yes,yes,no,yes,no,no,2.0,1.0,2.0,,2.5,365.0,,,,,1,1,1,0,1
79.5,,yes,yes,yes,no,yes,no,no,,1.0,2.0,,3.0,365.0,,,,,1,1,1,1,1
37.5,,yes,yes,yes,no,yes,no,no,1.0,1.0,2.0,,4.0,365.0,,,,,1,1,1,1,1
70.0,,yes,yes,yes,no,yes,no,no,2.0,1.0,2.0,23.99,2.0,,,,,,1,1,1,1,1
100.0,,yes,yes,yes,no,yes,no,no,,1.0,2.0,,,,,,,,0,1,0,0,1
75.0,,yes,yes,yes,no,yes,no,no,,1.0,1.0,,,,,,,,0,1,0,0,0
90.0,,yes,yes,yes,no,yes,no,no,1.0,1.0,2.0,,3.0,365.0,,,,,1,1,1,1,1
75.0,,yes,yes,yes,no,yes,no,no,1.0,1.0,2.0,,2.5,,,,,,1,1,1,1,1
5.9,,yes,no,yes,no,no,no,no,1.0,2.0,4.0,,,,,,20.0,,0,1,1,1,1
